species,tree_id,endemic_class,Disturbance,Elevation,Locality.Code,Disturbance_old_coding
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,0,36,FIJI Macuata I: Vunitogoloa,5
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,2,15,"FIJI Nanunu-i-Ra I.: Ra Prov. Nanunu-i-Ra Island, McDonald""s Resort",3
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,3,1,FIJI Viti Levu: Mosquito I.,2
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,0,1,FIJI Viti Levu: Ocean Pacific,5
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,0,1,FIJI Viti Levu: Ocean Pacific,5
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,325,"FIJI Viti Levu: Mt. Nakobalevu, 4  km WSW Colo-i-Suva Village",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,100,FIJI Lakeba: 3.2  km NE Tubou Village,4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,100,FIJI Lakeba: 3.2  km NE Tubou Village,4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,180,FIJI Vanua Levu: 0.6  km S Rokosalase Village,4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,97,FIJI Vanua Levu: 0.5  km S Rokosalase Village,4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,118,FIJI Vanua Levu: 0.4  km S Rokosalase Village,4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,2,55,"FIJI Viti Levu: Sigatoka Sand Dunes, 1.1  km SSW Volivoli Village",3
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,2,25,"FIJI Viti Levu: Sigatoka Sand Dunes, 0.8  km SSW Volivoli Village",3
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,3,20,Koronivia Farm,2
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,3,0,Warrick Hotel,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,10,"FIJI Viti Levu: Yasawa Prov. Nanui-i-Ra Island, McDonald""s Resort",2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,4,25,USP Campus,1
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,0,"Queen Elizabeth Drive 1, Suva",2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,4,1,Lami Cement Works,1
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,0,Rewa Delta 4,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,45,Kings Rd to Rakiraki 8,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,33,"Volivoli road 1, Ellington Wharf",2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,31,"Vatukonia Town,  Vatukonia Mine",2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,740,North of Navai Village 1,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,837,"Lewa Rd, Nadarivatu",2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,0,Vatia Point Wharf,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,461,Abaca Village,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,4,15,Vuda Point Oil Terminals,1
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,4,0,Vuda Point Marina,1
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,1,Denerau Island,2
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,2,484,Vaturu Dam 1,3
Cardiocondyla.emeryi,Cardiocondyla.emeryi.EGP0031F06.Fiji,Exotic,3,162,Vaturu Dam 5,2
